ID,Title,Description,Topic,Type,Link,Formats,Permissions,Organisation,Contact
1568,"Wärmenetz,district heating,supply",,Catalog,Dataset,https://map.geo.admin.ch/?layers=ch.bfe.fernwaerme-angebot&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&E=2633441.18&N=1267797.30&zoom=5,,,GeoAdmin.ch,
1567,Wind Potential CH,,Catalog,Dataset,https://data.geo.admin.ch/ch.bfe.windenergie-potenzialgebiete/,,,GeoAdmin.ch,
1562,"Zugverkehr, Schienendaten",,Catalog,Dataset,https://data.geo.admin.ch/ch.bav.schienennetz/,,,GeoAdmin.ch,
1560,Footprint Network,World wide data about footprints of nations,CO2,Dataset,https://www.footprintnetwork.org/,,,Footprintnetwork,
1559,ENTSOE.eu,"Statistics and Data (monthly statistics reports, electricity in Europe, Statistical yearbooks, statistical factsheets, annual statistics, load values)",Europe,Dataset,https://www.entsoe.eu/publications/statistics-and-data/,API,,EntSOE,Matthias Eifert
1557,ENTSOE.eu,"Power Statistics by Country (monthly domestic values, net generating capacity, Metadata Repository, physical energy & power flows, inventory of transmission, monthly hourly load values, inventory of generation)",Global,Dataset,https://www.entsoe.eu/data/it-platforms/#,,,EntSOE,Matthias Eifert
1558,Up to date,Outlook Reports by country,Global,Dataset,https://www.entsoe.eu/outlooks/seasonal/,"PDF,XLS",,EntSOE,Matthias Eifert
1629,Transparency.Entsoe.eu,"Transmission (scheduled commercial exchange, cross border physical flow, day ahead price, forecast transfer capacities (day, week, month, year)","Markt,Europe",Dataset,https://transparency.entsoe.eu/dashboard/show,"XML,XLS",,ENTSOE,Matthias Eifert
1556,EnergyMap.info,"Energiekarte, aktuelle Stromproduktion aus EE ","Stromproduktion,Deutschland",Dataset,http://www.energymap.info/download.html,CSV,,EnergyMap,Matthias Eifert
1555,Energydata.info,Data Sets by Countries,"Europe,Netzkennzahlen",Dataset,https://energydata.info/dataset,,,EnergyData.Info,
1554,Energienet.dk,"Energy Data (Denmark) Production and Consumption, Whole Sale Market, Ancillary Services, Transmission lines, CO2 Emissions, Gas",Netzkennzahlen,Dataset,https://en.energinet.dk/Electricity/Energy-data  https://www.energidataservice.dk/en/,,,Energinet,Matthias Eifert
1553,Energinet.dk,Data Hub (Denmark),Strom,Dataset,https://en.energinet.dk/Electricity/DataHub,,,Energinet,Matthias Eifert
1638,Elektronikgeräte,Elektronikgeräte,Elektrogeräte,Dataset,http://www.energie.ch/elektronikgeraete,,,Energie.ch,
1552,Enerdata.net,EnerMonthly (Monthly Energy Database Global Energy and CO2 Data Global Energy Forecasts Marginal Abatement Cost Curves,CO2,Dataset,https://www.enerdata.net/research/,,,Enerdata,
1551,ELIA.be,Grid technical Data Map High voltage grid,"Kadaster & Netze,Strom,Distribution",Dataset,http://www.elia.be/en/grid-data/Grid-Technical-Data,"PDF,XLS",,Elia,Matthias Eifert Oleg Lavrovski
1550,Load Interconnection Generation Balacing,,"Catalog,Deutschland",Dataset,http://www.elia.be/en/grid-data/data-download,"CSV,XLS",,Elia,Matthias Eifert Oleg Lavrovski
1549,ElectricityMap,"eine Karte, die für über 131 Regionen weltweit und in Echtzeit die Stromproduktion (inkl. Import und Export) und deren CO2-Intensität abbildet","Stromproduktion,CO2,Echtzeit",Dataset,https://data.electricitymap.org,API,,Electricitymap.org,
1545,Data.gov.uk,Smart Meter Data Sets,Smart Meter,Dataset,https://data.gov.uk/search?q=smart+meter,,,Data.gov.uk,
1542,Smart meter data from UK,Various datasets on Smart Meter topics from the UK,"England,Catalog",Dataset,https://data.gov.uk/search?q=smart+meter,,,Data.gov.uk,
